#title,Moon River,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#category,FingerStyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#작성자,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#source,moon_river_ukulele_fingerstyle_basic.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#작성일자,2019-3-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#bpm,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#quaver,quaver,,,8분음표 기준,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#박자,¾,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#마디,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#start_offset,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#comment,from YouTube - 대전 aloha ukulele 동영상,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#chord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
#A,,,,,,,5,,3,,,,2,,,0,,,,,,,,,2,,,0,,, ,,,,,,;
#E,3,,,,,,0,,,,,,1,,,,3,1,3,,,,,,1,,,,3,1,3,,,,,,;
#C,0,,,,,,0,,,,,,0,,,,,,0,,,,0,,0,,,,,,0,,,,0,,;
#G,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,;
#가사,Moon ,,,,,,River,,,,,,Wilder,,,,then a ,a,mile,,,,I’,,crossing,,,you in ,,,style,,,,someday,,;
#chord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
#A,,,,,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
#E,,,,, , ,0,,,,0,,,,,,,,3,,0,,,,,,,,,,3,,0,,,,;
#C,2,,,,,,2,,,,,,0,,,,,,,,,, ,2,0,,,,,,,,,,,2,;
#G,,,,,,,1,,,,,,2,,,,,,,,,,,,2,,,,,,,,,,,,;
#가사,day,,,,,,,,,,old,,dream,,,,,,maker,,,,,,you,,,,,,heart,,breaker,,,where-,;
#chord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
#A,,,,,,,3,,2,,,0,2,,0,,,,0,,,,,,2,,,,,,,,,,,,;
#E, ,,0,,3,,0,,,,,,0,,,,,3,1,,,,,,1,,,,,,,,,,,,;
#C,0,,,,,,0,,,,,,2,,,,,,2,,,,,,2,,,,,,,,,,,,;
#G,2,,,,,,,,,,,,,,,,,,2,,,,,,0,,,,,,,,,,,,;
#가사,ever,,you’re,,going,,I’m,,going,,,your,way,,,,,,,,,,,,,,,,,,,,,,,,;
#chord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
#A, ,,,,,,5,,3,,,,2,,,0,,,,,,,,,2,,,0,,, ,,,,,,;
#E,,,,,,,0,,,,,,1,,,,3,1,3,,,,,,1,,,,3,1,3,,,,,,;
#C,0,,,,,,0,,,,,,0,,,,,,0,,,,0,,0,,,,,,0,,,,0,,;
#G,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0,,,,,,;
#가사,two,,,,,,drifters,,,,,,off,,,to ,see ,the ,world,,,,,,,,,,,,,,,,,,;
#chord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
#A,,,,,2,0,2,,,,,,,,,,,,3,,,,,,5,,,,3,,,,,,,,;
#E,,,,,,,0,,,,0,,,,0,,3,,2,,,,,,5,,,,,,3,,,,,,;
#C,2,,,,,,2,,,,,,0,,,,,,0,,,,,,5,,,,,,0,,,,,,;
#G,,,,,,,1,,,,,,2,,,,,,2,,,,,,5,,,,,,0,,,,,,;
#가사,,,,,,,,,,,,,,,,,,,same,,,,,,rainbow’s,,,,,,end,,,,,,;
#chord,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;
#A,,,2,0,,,,,,,,,,,2,0,,,,,,,,,,,,,,,,,,,,,;
#E,,,,,3,1,3,,,,,,,,,,3,1,3,,,,,,,,,,,,1,, ,,,,;
#C,0,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,2,,2,,,,;
#G,,,,,,,0,,,,,,,,,,,,0,,,,,,2,,,,,,2,,,,,,;
#가사,,,,,,,,,,,,,,,,,,,,,,,,,moon,,,,,,river,,,,,,;
#chord,,,,,,,,,,,,,;,,,,,,,,,,,,,,,,,,,,,,,,
#A,,,,,,,3,,,,,,;,,,,,,,,,,,,,,,,,,,,,,,,
#E,,,0,,,,0,,,,,,;,,,,,,,,,,,,,,,,,,,,,,,,
#C,,,,,,,0,,,,,,;,,,,,,,,,,,,,,,,,,,,,,,,
#G,,,,,,,0,,,,,,;,,,,,,,,,,,,,,,,,,,,,,,,
#가사,and ,,,,,,me,,,,,,;,,,,,,,,,,,,,,,,,,,,,,,,
