#title,"Moon River",,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,
#docversion,2,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,
#작성일자,"2020-04-11  21:18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#작성자,ahnsik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#메모,"uke author",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#레벨,*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#category,Melody,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,
#source,moonriver_ukul_concert.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#thumbnail,ukulele_concert_book.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#comment,"티파니에서 아침을 OST",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#start_offset,9172,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,
#bpm,80,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,
#quaver,quaver,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,
#박자,3/4,,,,,,,,,,,,*,,,,,,,,,,,,,,,,,,,,,,,,,,
#string_tune,HighG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#option,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#chord,C,,,,,,Am,,,,,,Fadd9,,,,,,C,,,,,,Fadd9,,,,,,C,,,,,,;,,
#A,,,,,,,5c,,3,,,,2,,,0,,,,,,,,,2,,,0,,,,,,,,,;,,
#E,3,,,,,,0,,,,,,1,,,,3a,1i,3a,,,,,,1,,,,3a,1i,3a,,,,,,;,,
#C,0,,,,,,0,,,,0,,0,,0,,,,0,,,,0,,0,,0,,,,0,,,,0,,;,,
#G,0,,,,,,2a,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,,,,,;,,
#가사,"Moon ",,,,,,River,,,,,,Wilder,,,,"than a mile",,,,,,I’m,,crossing,,,,"you in",,style,,,,some,,;,,
#stroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#technic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#chord,Bm7,,,,,,E7,,,,,,Am,,,,,,C7,,,,,,"F ",,,,,,Bb,,,,,,;,,
#A,,,,,,,3i,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#E,,,0,,1,,0,,,,,,,,,,,,3a,,0,,,,,,,,,,3a,,0,,,,;,,
#C,2m,,,,,,2a,,,,2,,0,,,,,,0,,,,,2,0,,,,,,2i,,,,,2,;,,
#G,"2 ",,,,,,1,,,,,,3,,,,,,3a,,,,,,2,,,,,,3a,,,,,,;,,
#가사,day,,,,,,,,,,old,,dream,,,,,,maker,,,,,you,heart,,,,,,breaker,,,,,Where-ever,;,,
#stroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#technic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#chord,Am,,,,,,F#m7,,B7,,," ",Em,,,,A7,,Dm7,,,,G7,,,,C,,,,,,Am,,,,,,;
#A,,,,,,,3i,,2,,,0,2,,0,,,,0,,,,2,,,,,,,,,,5c,,3,,,,;
#E,,,0,,3,,2a,,2,,,,3,,,,3a,,1,,,,1,,,,3,,,,,,0,,,,,,;
#C,0,,,,,,4,,3,,,,4,,,,1,,2i,,,,2,,,,0,,,,,,0,,,,0,,;
#G,"2 ",,,,,,2a,,2,,,,0,,,,0,,2i,,,,0,,,,0,,,,,,2a,,,,,,;
#가사,,,,,you’re,,going,,,,,I’m,going,,,,,"your way",,,,,,,,,Two,,,,,,drifters,,,,,,;
#stroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#technic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#chord,Fadd9,,,,,,C,,,,,,Fadd9,,,,,,C,,,,,,Bm7,,,,,,E7,,,,,,;,,
#A,2,,,0,,,,,,,,,2,,,0,,,,,,,,,,,,,,,3a,,,,,,;,,
#E,1,,,,3a,1i,3a,,,,,,1,,,,3a,1i,3a,,,,,,,,0,,1,,0,,2,,,,;,,
#C,0,,0,,,,0,,,,0,,0,,0,,,,0,,,,0,,2,,,,,,2a,,,,2,,;,,
#G,0,,,,,,0,,,,,,0,,,,,,0,,,,,,2,,,,,,1,,,,,,;,,
#가사,off,,,"to see the ",,,world,,,,There’s,,such,,,"a lot of ",,,world,,,,to,,see,,,,,,,,,,We’re,,;,,
#stroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#technic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#chord,Am,,,,,,Am7,,,,,,F#dim7,,,,,,F,,,,,,C,,,,,,F,,,,,,;,,
#A,,,,,,,,,,,,,3,,,,,,5,,,,3,,,,,,,,0,,2,0,,,;,,
#E,,,,,,,0,,,,3,,2,,,,,,1,,,,,,3,,,,,,1,,,,3,1,;,,
#C,0,,,,,,0,,,,,,3,,,,,,0,,,,,,0,,,,,,0,,,,,,;,,
#G,"2 ",,,,,,0,,,,,,2,,,,,,,,,,,,0,,,,,,2a,,,,,,;,,
#가사,af-,,,,,,ter,,,,the,,same,,,,,,rain-,,,,bow’s,,end,,,,,,,,"waiting round the ",,,,;,,
#stroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#technic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#chord,C,,,,,,"F ",,,,,,C,,,,,,Am,,,,,,Dm,,,,,,G7,,,,,,;,,
#A,,,,,,,0,,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#E,"3 ",,,,,,1,,,,3,1,3,,,,,,,,,,,,1,,,,,,1,,,,0,,;,,
#C,0,,,,,,0,0,,,,,0,,,,,,0,,,,,,2,,2,,,,2a,,,,,,;,,
#G,0,,,,,,2a,,,,,,0,,,,,,2i,,,,,,2,,,,,,0,,,,,,;,,
#가사,bend,,,,,,,"My Huckelberry",,,,,friend,,,,,,Moon,,,,,,ri-,,ver,,,,,,,,and,,;,,
#stroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#technic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#chord,C,,,,,,Am,,,,,,C,,,,,,Am,,,,,,G7,,,,,,Cadd9,,,,,,;,,
#A,,,,,,,5c,,3,,,,,,,,,,5,,3,,,,0,,,,,,3a,,,,,,;,,
#E,"3 ",,,,,,0,,,,0,,3,,,,,,0,,,,,,1,,3,,1,,0,,,,,,;,,
#C,0,,,,,,0,,,,,,0,,,,,,0,,,,,,2,,4,,2,,2a,,,,,,;,,
#G,,,,,,,2a,,,,,,,,,,,,2i,,,,,,,,,,,,0,,,,,,;,,
#가사,me.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#stroke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
#technic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,;,,
