#title,눈물이 주륵주륵,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#category,FingerStyle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#작성자,최안식,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#source,sample.mp3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#작성일자,2018-10-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#bpm,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#quaver,semiquaver,,,,,,// quaver 는 8분음표라는 뜻. 표의 1칸은 8분음표 기준으로 구성됨.  // semiquaver 라면 16분음표라는 뜻. 표의 1칸은 16분 음표로 구성됨. ,,,,,,,,,,,,,,,,,,,,,,,,,
#박자,4/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#마디,2018년 4월 4일,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#start_offset,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#chord,F,,,,,,,,Am,,,,,,,,Bb,,,,,,,,F,,,,,,,
#A,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
#E,,,,,,1i,,,,,,,,,1i,,1i,,,,3a,,1i,,,,,,,,,
#C,0,,,,2m,,,,0,,,,2m,,,,,,,,,,,,,,,,,,,
#G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#가사,후,,,,루,이,,,아,,,,루,,바,,무,,,,메,,구,,리,,,,,,,
#chord,Bb,,,,,,,,F,,,,,,,,Gm7,,,,,,,,C7,,,,,,,
#A,,,,,,,,,,,,,,,,,1i,,0,,,,,,,,,,,,,
#E,,,,,1i,,3a,,,,,,,,1i,,,,,,3a,,1i,,3a,,,,,,,
#C,2m,,,,,,,,0,,0,,2m,,,,,,,,,,,,,,,,,,,
#G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#가사,아,,,,리,,가,,토,,,,옷,,떼,,쓰,,부,,야,,이,,따,,,,,,,
#chord,F,,,,,,,,Am,,,,,,,,Bb,,,,,,,,F,,,,,,,
#A,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,
#E,,,,,,1i,,,,,,,,,1i,,1i,,,,3a,,1i,,,,,,,,,
#C,0,,,,2m,,,,0,,,,2m,,,,,,,,,,,,,,,,,,,
#G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#가사,이,,,,쓰,모,,,이,,,,쓰,,모,,무네,,,,노,,나,,카,,,,,,,
#chord,Bb,,,,,,,,F,,,,D7,,,,Gm7,,,,C7,,,,F,,,,,,,
#A,,,,,,,,,,,,,1i,,0,,,,,,,,,,,,,,,,,
#E,,,,,1i,,3a,,,,,,,,,,3a,,,,0,,0,,1i,,,,,,,
#C,2m,,,,,,,,0,,0,,,,,,,,2m,,,,,,,,,,,,,
#G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#가사,하,,,,게,,마,,시,,이,,떼,,쿠,,레,,루,,히,,또,,요,,,,,,,
#chord,,,,,,,,,F,,,,,,,,Am,,,,,,,,Dm,,,,,,,
#A,,,0,,3m,,0,,3m,,,,,,0,,3m,,,,5c,,3m,,,,,,,,0,
#E,,,,,,,,,,,,,,,,,,,,,,,,,1i,,,,3a,,,
#C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#가사,,,하,,레,,와,,따,,,,,,루,,히,,,,모,,아,,메,,,,노,,히,
#chord,Am,,,,,,,,Bb,,,,,,,,F,,,,,,,,Csus4,,,,,,,
#A,0,,,,,,,,,,,,,,0,,3a,3a,,,0,,0,,,,,,,,,
#E,,,,,,,,,,,3a,,3a,,,,,,,,,,,,3a,,,,,,,
#C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#가사,모,,,,,,,,,,우,,카,,부,,아,노,,,에,,가,,오,,,,,,,
#chord,C,,,,C7,,,,Am,,,,,,,,D7,,,,,,,,Bb,,,,,,,
#A,,,0,,3m,,0,,3m,,,,,,0,,3m,,,,5c,,3m,,,,,,,,0,
#E,,,,,,,,,,,,,,,,,,,,,,,,,1i,,,,3a,,,
#C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#가사,,,오,,모,,이,,데,,,,,,도,,오,,,,쿠,,아,,세,,,,떼,,,
#chord,F,,,,,,,,Bb,,,,,,,,F,,,,,,,,Bb,,,,,,,
#A,0,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,
#E,,,,,,,,,1i,,,,3a,,,,1i,,,,,,,,1i,,,,3a,,,
#C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#가사,모,,,,,,,,오,,,,모,카,,,게,,,,,,,,사,,,,가,시,,
#chord,F,,,,,,,,Bb,,,,,,,,F,,,,D7,,,,Gm7,,,,C7,,,
#A,0,,,,,,,,,,,,,0,,,,,,,1i,,0,,,,,,,,,
#E,,,,,,,,,1i,,,,3a,,,,,,,,,,,,3a,,,,0,,,1i
#C,,,,,,,,,,,,,,,,,0,,0,,,,,,,,2m,,,,,
#G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#가사,떼,,,,,,,,요,,,,미,가,,,에,,루,,히,,와,,나,,다,,소,,,
#chord,F,,,,,,,,Bb,,,,,,,,F,,,,,,,,Bb,,,,,,,
#A,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,0,,
#E,1i,,,,,,,,1i,,,,3a,,,,1i,,,,,,,,1i,,,,3a,,,
#C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#가사,소,,,,,,,,아이,,,,따,쿠,,,떼,,,,,,,,아이,,,,따,꾸,,
#chord,F,,,,,,,,Bb,,,,,,,,F,,,,D7,,,,Gm7,,,,C7,,,
#A,0,,,,,,,,,,,,,0,,,,,,,1i,,0,,,,,,,,,
#E,,,,,,,,,1i,,,,3a,,,,,,,,,,,,3a,,,,0,,,1i
#C,,,,,,,,,,,,,,,,,0,,0,,,,,,,,2m,,,,,
#G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#가사,떼,,,,,,,,키,,,,미,에,,,노 ,,오,,모,,이,,나,,다,,소,,,
#chord,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#E,1i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#가사,소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
